created_at,entry_id,field1,field2,field3,field4,field5,field6
2025-11-19T05:06:50+00:00,38,848,23,0.000000,0.000000,19-11-2025 10:36:49,1
2025-11-19T05:07:07+00:00,39,451,0,0.000000,0.000000,19-11-2025 10:37:06,0
2025-11-19T05:07:24+00:00,40,455,0,0.000000,0.000000,19-11-2025 10:37:22,0
2025-11-19T05:07:40+00:00,41,459,0,0.000000,0.000000,19-11-2025 10:37:39,0
2025-11-19T05:07:57+00:00,42,1882,92,0.000000,0.000000,19-11-2025 10:37:55,1
2025-11-19T05:08:14+00:00,43,1014,34,0.000000,0.000000,19-11-2025 10:38:12,1
2025-11-19T05:08:32+00:00,44,1111,40,0.000000,0.000000,19-11-2025 10:38:29,1
2025-11-19T05:08:49+00:00,45,1390,59,0.000000,0.000000,19-11-2025 10:38:48,1
2025-11-19T05:09:06+00:00,46,1971,98,0.000000,0.000000,19-11-2025 10:39:04,1
2025-11-19T05:09:22+00:00,47,2880,100,0.000000,0.000000,19-11-2025 10:39:21,1
2025-11-19T05:09:39+00:00,48,2914,100,0.000000,0.000000,19-11-2025 10:39:38,1
2025-11-19T05:09:56+00:00,49,3367,100,0.000000,0.000000,19-11-2025 10:39:54,1
2025-11-19T05:10:12+00:00,50,3151,100,0.000000,0.000000,19-11-2025 10:40:11,1
2025-11-19T05:10:29+00:00,51,2943,100,0.000000,0.000000,19-11-2025 10:40:28,1
2025-11-19T05:10:49+00:00,52,2864,100,0.000000,0.000000,19-11-2025 10:40:45,1
2025-11-19T05:11:05+00:00,53,2848,100,0.000000,0.000000,19-11-2025 10:41:04,1
2025-11-19T05:11:22+00:00,54,2803,100,0.000000,0.000000,19-11-2025 10:41:20,1
2025-11-19T05:11:39+00:00,55,2704,100,0.000000,0.000000,19-11-2025 10:41:38,1
2025-11-19T05:11:56+00:00,56,2549,100,0.000000,0.000000,19-11-2025 10:41:54,1
2025-11-19T12:55:25+00:00,57,181,0,0.000000,0.000000,19-11-2025 18:25:24,0
2025-11-19T12:55:41+00:00,58,309,0,0.000000,0.000000,19-11-2025 18:25:40,0
2025-11-19T12:55:58+00:00,59,208,0,0.000000,0.000000,19-11-2025 18:25:57,0
2025-11-19T12:56:15+00:00,60,944,29,0.000000,0.000000,19-11-2025 18:26:14,1
